customer_text,intent,escalate,escalate_reason,brand_text
"@115821 WHAT’S THE POINT OF PRIME IF YOU CAN’T GET IT HERE ON TIME?!

This is a pair of shoelaces for Christ’s sake!

What’s the deal @115821?? https://t.co/WWuHlII8Lk",Delivery/Shipping Issue,No,"The customer is frustrated about a late delivery, but this is a routine shipping issue that can be handled by standard support protocols without requiring immediate human escalation.",@562008 Sorry for the delay.^CD
"@AmazonHelp I talked to all three delivery agents, they said that Amazon don't deliver to office addresses on Saturdays and Sundays. I wonder, if it's so, then why delivery is told to be confirmed om Saturday, when selected address is office address?",Delivery/Shipping Issue,No,"This is a routine inquiry regarding delivery policy and scheduling logic, not a severe safety risk or complex technical issue.",@588595 We have sent a correspondence to your email. I request you to reply to the mail and we will assist you accordingly. You may check the correspondence here as well: https://t.co/8DAc10S7ww. ^VH
#apptreasurehunt @115850 I have just received my Safari that I won during last App Treasure Hunt.It's pretty👌I❤it. Thanks Amazon🙏❤Amazon,Other/General Inquiry,No,"The tweet is a positive feedback and thank you note, requiring no action or escalation.","@215892 We're so happy to hear that! Congratulations, Pallab! :) ^BS"
"@AmazonHelp I see, quite confusing for international viewers, but I'll pay attention frm now on. Already wrote to the customer service directly, thanks!",Other/General Inquiry,No,"The customer indicates they have already contacted customer service directly and is merely commenting on the confusion, showing no anger or need for further intervention.",@364435 You're very welcome! ^GL
@AmazonHelp No reply from you. And I have messaged your seller too.,Other/General Inquiry,No,"The tweet is a general complaint about lack of communication but does not specify a complex issue, severe safety risk, or extreme anger requiring immediate human intervention.","@220256 We try to reply as early as possible. However, you would receive the reply within 6-12 hours from the time you've written to us. ^KA"
@AmazonHelp Mais c’est juste pas normal. Je paye la livraison et mon colis reste bloqué une semaine sans raison à côté de chez moi.,Delivery/Shipping Issue,No,Routine delivery delay complaint without severe safety risks or extreme aggression.,"@766277 L'accès à votre compte client est impossible depuis Twitter. Toutefois, notre SAV pourra vous rembourser les éventuels frais de livraison engagés dans le cas d'un retard. (Si vous ne souhaitez pas nous contacter par tel, vous pouvez envoyer un email depuis le lien)^KD"
"@AmazonHelp I have no idea, how is a customer expected to know who you use for each order?",Delivery/Shipping Issue,No,"The tweet expresses frustration about a lack of information regarding the shipping carrier, which is a routine inquiry that can be handled by providing standard tracking information or explaining how to view carrier details in the order history.",@450387 Hi- It would advise on the dispatch confirmation email who the carrier for the order is. Is tracking usually provided? ^NV
"@AmazonHelp 
@115850 
I think Amazon gine mad ...product worth 1750 and delivery charge 1000 ....plz remove delivery charge i want this https://t.co/39YvwAcHll",Account/Billing Issue,No,"The customer is requesting a specific billing adjustment (removal of delivery charge) for a high-value order. While the tone is frustrated, the request is specific and can be handled by standard support workflows without immediate escalation.",@381541 can check and assist you? 2/2 ^NK
@AmazonHelp The entire intent of tweeting again was the issue is unresolved even after receiving the correspondence concluding that your team is hopeles,Other/General Inquiry,Yes,"Customer expresses extreme frustration and explicitly states the issue is unresolved after previous contact, indicating a need for human intervention to resolve a complex or stalled case.","@186821 I understand your disappointment. As our team is working on this, request you to wait and I'm sure they will do their 1/2^NK"
"@AmazonHelp J'y penserai, j'y penserai 😉@AmazonHelp Toujours là pour nous aider de ""A à Z"" 🙃😉",Other/General Inquiry,No,"The tweet is a positive, playful comment expressing satisfaction with Amazon's service ('A to Z') and does not contain a specific issue, complaint, or request requiring action.","@791131 Vous par contre, vous vous faites rare 😔😔 !! ^SA"
